,0
0,Taxation
1,Education
2,Finance and financial sector
3,Labor and employment
4,Public lands and natural resources
5,Health
6,Government operations and politics
7,Social welfare
8,Housing and community development
9,Agriculture and food
10,Economics and public finance
11,Families
12,Foreign trade and international finance
13,Energy
14,Private legislation
15,Transportation and public works
16,Emergency management
17,International affairs
18,Congress
19,Native Americans
20,Crime and law enforcement
21,Armed forces and national security
22,Immigration
23,"Civil rights and liberties, minority issues"
24,Commerce
25,"Science, technology, communications"
26,Animals
27,Water resources development
28,Environmental protection
29,Law
30,"Arts, culture, religion"
31,Sports and recreation
32,Social sciences and history
